202;...2;...3;...4;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test;version;regxmean
84;84;84;NA;#self-correction#;3;1;%;C;OM;cmnt;self-correction;%COM: cmnt self-correction;30;(#self-correction#);%#%;#self-correction#;test3;v2_9;17
85;85;85;NA;#Kopfschuetteln#;3;1;%;C;OM;cmnt;shakes head;%COM: cmnt shakes head;31;(#Kopfschuetteln#);%#%;#Kopfschuetteln#;test3;v2_9;16
86;86;86;NA;#zeigt auf Besen#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;32;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #)|(#die zeigt auf den dicken Mann#)|(#zeigt richtig#);%#%;#zeigt auf Besen#;test3;v2_9;17
87;87;87;NA;#zeigt auf ihre Locken#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;32;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #)|(#die zeigt auf den dicken Mann#)|(#zeigt richtig#);%#%;#zeigt auf ihre Locken#;test3;v2_9;23
88;88;88;NA;# zeigt #;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;32;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #)|(#die zeigt auf den dicken Mann#)|(#zeigt richtig#);%#%;# zeigt #;test3;v2_9;9
89;89;89;NA;# zeigt auf das Richtige#;3;1;%;C;OM;cmnt;showing correct;%COM: cmnt showing correct;33;(# zeigt auf das Richtige#);%#%;# zeigt auf das Richtige#;test3;v2_9;25
90;90;90;NA;#unklar#;3;1;%;C;OM;cmnt;unclear;%COM: cmnt unclear;34;(#unklar#)|(unklar)|(unverstaenglich);%#%;#unklar#;test3;v2_9;8
91;91;91;NA;#unclear script#;3;1;%;C;OM;cmnt;unclear script;%COM: cmnt unclear script;35;(#unclear script#);%#%;#unclear script#;test3;v2_9;16
92;92;92;104;9no pl/num.;2;9;%;0;PN;zero;plural/numeral;%0PN: zero plural/numeral;36;(9no pl/num\.)|(#9no pl/num#)|(9no pl /num);%#%;9no pl/num\.;test3;v2_9;11
93;93;93;NA;#9no pl/num#;2;1;%;0;PN;zero;plural/numeral;%0PN: zero plural/numeral;36;(9no pl/num\.)|(#9no pl/num#)|(9no pl /num);%#%;#9no pl/num#;test3;v2_9;12
94;94;94;NA;#9nst pro#;1;1;%;N;PO;nonstandard;pronoun;%NPO: nonstandard pronoun;37;(#9nst pro#);%#%;#9nst pro#;test3;v2_9;10
95;95;95;NA;90 prep#;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;90 prep#;test3;v2_9;8
96;96;96;107;90 prep;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;90 prep;test3;v2_9;7
96;96;96;107;#90 prep;2;9;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep;test3;v2_9;8
97;97;97;NA;#90 prep#;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep#;test3;v2_9;9
98;98;98;NA;#90 prep #;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep #;test3;v2_9;NA
99;99;99;NA;#90 prep.#;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep\.#;test3;v2_9;10
99;99;99;NA;#90 prep#?;2;1;%;0;PR;zero;preposition;%0PR: zero preposition;38;(90 prep#)|(90 prep)|(#90 prep)|(#90 prep#)|(#90 prep #)|(#90 prep\.#)|(#90 prep#\?);%#%;#90 prep#\?;test3;v2_9;10
